contract_id,expected_outcome,detail
CTR7000,flag,flag_low_liability_cap
CTR7001,flag,flag_short_termination_notice
CTR7002,missing_clause,missing_indemnification
CTR7003,flag,flag_one_sided_indemnification
CTR7004,approve,approve
CTR7005,flag,flag_low_liability_cap
CTR7006,approve,approve
CTR7007,flag,flag_unacceptable_governing_law
CTR7008,flag,flag_long_payment_terms
CTR7009,flag,flag_one_sided_indemnification
CTR7010,approve,approve
CTR7011,flag,flag_short_termination_notice
CTR7012,approve,approve
CTR7013,flag,flag_short_termination_notice
CTR7014,missing_clause,missing_liability_cap
CTR7015,flag,flag_long_payment_terms
CTR7016,flag,flag_low_liability_cap
CTR7017,flag,flag_long_payment_terms
CTR7018,approve,approve
CTR7019,approve,approve
CTR7020,missing_clause,missing_liability_cap
CTR7021,missing_clause,missing_indemnification
CTR7022,flag,flag_one_sided_indemnification
CTR7023,missing_clause,missing_indemnification
CTR7024,flag,flag_unacceptable_governing_law
CTR7025,missing_clause,missing_liability_cap
